match,teams,group,start_time,end_time
1,"A1 vs A2","A","08:00:00","08:12:00"
2,"B1 vs B2","B","08:15:00","08:27:00"
3,"C1 vs C2","C","08:30:00","08:42:00"
4,"D1 vs D2","D","08:45:00","08:57:00"
5,"A3 vs A1","A","09:00:00","09:12:00"
6,"B3 vs B1","B","09:15:00","09:27:00"
7,"C3 vs C1","C","09:30:00","09:42:00"
8,"D3 vs D1","D","09:45:00","09:57:00"
9,"A2 vs A3","A","10:00:00","10:12:00"
10,"B2 vs B3","B","10:15:00","10:27:00"
11,"C2 vs C3","C","10:30:00","10:42:00"
12,"D2 vs D3","D","10:45:00","10:57:00"
